Country;Value
AK;0
AK;198
AK;16
AK;0
AK;42
AK;0
AK;0
AK;14
AK;0
AK;0
AK;39
AK;0
AK;0
AK;0
AL;91
AL;249
AL;35
AL;30
AL;49
AL;0
AL;32
AL;286
AL;39
AL;16
AL;30
AL;15
AL;17
AL;34
AL;15
AL;77
AL;171
AL;10
AL;0
AL;103
AL;31
AL;209
AL;72
AL;113
AL;109
AL;57
AL;53
AL;379
AL;25
AL;30
AL;32
AL;0
AL;19
AL;0
AL;553
AL;66
AL;2138
AL;0
AL;265
AL;26
AL;297
AL;114
AL;0
AL;0
AL;657
AL;51
AL;74
AL;199
AL;942
AL;22
AL;862
AL;239
AL;0
AL;13
AL;65
AL;13
AL;48
AL;104
AL;174
AL;0
AL;115
AL;108
AL;597
AL;195
AL;11
AL;0
AL;33
AR;11
AR;11
AR;145
AR;448
AR;76
AR;18
AR;17
AR;21
AR;25
AR;28
AR;32
AR;0
AR;52
AR;10
AR;543
AR;35
AR;38
AR;17
AR;14
AR;0
AR;18
AR;219
AR;21
AR;33
AR;361
AR;11
AR;50
AR;18
AR;17
AR;17
AR;171
AR;21
AR;13
AR;181
AR;22
AR;0
AR;20
AR;0
AR;14
AR;31
AR;20
AR;38
AR;0
AR;20
AR;20
AR;40
AR;13
AR;12
AR;13
AR;48
AR;0
AR;22
AR;0
AR;14
AR;64
AR;74
AR;0
AR;1204
AR;24
AR;0
AR;132
AR;12
AR;11
AR;509
AR;0
AR;16
AR;16
AR;105
AR;0
AR;455
AR;168
AR;0
AR;28
AZ;110
AZ;128
AZ;260
AZ;109
AZ;56
AZ;21
AZ;10010
AZ;601
AZ;179
AZ;2658
AZ;355
AZ;23
AZ;415
AZ;716
CA;1381
CA;54
CA;255
CA;19
CA;17
CA;750
CA;0
CA;114
CA;1741
CA;33
CA;34
CA;578
CA;28
CA;1347
CA;316
CA;52
CA;17
CA;22367
CA;210
CA;202
CA;0
CA;43
CA;299
CA;0
CA;0
CA;558
CA;87
CA;87
CA;5734
CA;446
CA;0
CA;5088
CA;1626
CA;52
CA;5476
CA;4306
CA;486
CA;1375
CA;236
CA;585
CA;520
CA;1790
CA;262
CA;238
CA;15
CA;404
CA;382
CA;1369
CA;50
CA;61
CA;0
CA;834
CA;69
CA;1072
CA;167
CA;122
CO;764
CO;31
CO;800
CO;0
CO;13
CO;338
CO;51
CO;20
CO;0
CO;0
CO;0
CO;0
CO;0
CO;51
CO;735
CO;265
CO;0
CO;10
CO;872
CO;34
CO;39
CO;0
CO;0
CO;0
CO;14
CO;786
CO;0
CO;0
CO;59
CO;293
CO;0
CO;0
CO;57
CO;257
CO;0
CO;21
CO;0
CO;64
CO;68
CO;29
CO;0
CO;0
CO;0
CO;17
CO;372
CO;0
CO;0
CO;16
CO;0
CO;0
CO;0
CO;0
CO;0
CO;292
CO;14
CT;2181
CT;2442
CT;219
CT;352
CT;2105
CT;414
CT;98
CT;149
DC;1395
DE;278
DE;753
DE;430
FL;625
FL;12
FL;390
FL;0
FL;818
FL;2823
FL;16
FL;371
FL;339
FL;331
FL;557
FL;164
FL;26
FL;1576
FL;847
FL;108
FL;0
FL;14
FL;0
FL;0
FL;0
FL;0
FL;
FL;26
FL;387
FL;322
FL;1691
FL;17
FL;212
FL;0
FL;0
FL;0
FL;563
FL;888
FL;570
FL;18
FL;0
FL;11
FL;599
FL;841
FL;400
FL;5499
FL;27
FL;44
FL;312
FL;66
FL;1445
FL;505
FL;2739
FL;664
FL;1510
FL;1104
FL;87
FL;87
FL;413
FL;120
FL;842
FL;336
FL;266
FL;25
FL;0
FL;25
FL;729
FL;0
FL;92
FL;35
GA;33
GA;47
GA;0
GA;107
GA;0
GA;38
GA;148
GA;59
GA;12
GA;628
GA;20
GA;0
GA;13
GA;0
GA;117
GA;16
GA;31
GA;0
GA;23
GA;44
GA;310
GA;47
GA;0
GA;629
GA;0
GA;0
GA;191
GA;425
GA;0
GA;161
GA;0
GA;1013
GA;134
GA;112
GA;35
GA;12
GA;195
GA;0
GA;88
GA;0
GA;0
GA;38
GA;709
GA;96
GA;0
GA;392
GA;117
GA;18
GA;21
GA;22
GA;58
GA;14
GA;32
GA;260
GA;398
GA;257
GA;36
GA;1641
GA;28
GA;0
GA;205
GA;108
GA;28
GA;22
GA;807
GA;67
GA;778
GA;13
GA;12
GA;0
GA;12
GA;0
GA;334
GA;229
GA;13
GA;21
GA;19
GA;26
GA;24
GA;16
GA;16
GA;0
GA;21
GA;187
GA;0
GA;19
GA;0
GA;306
GA;29
GA;13
GA;0
GA;0
GA;0
GA;0
GA;27
GA;0
GA;19
GA;40
GA;0
GA;22
GA;659
GA;127
GA;44
GA;0
GA;139
GA;17
GA;84
GA;0
GA;0
GA;14
GA;49
GA;24
GA;20
GA;0
GA;1023
GA;162
GA;0
GA;0
GA;230
GA;38
GA;0
GA;80
GA;0
GA;25
GA;0
GA;0
GA;0
GA;186
GA;216
GA;135
GA;16
GA;0
GA;236
GA;0
GA;10
GA;51
GA;155
GA;30
GA;185
GA;178
GA;0
GA;52
GA;64
GA;0
GA;17
GA;229
GA;0
GA;0
GA;0
GA;15
HI;51
HI;362
HI;0
HI;49
IA;23
IA;0
IA;41
IA;37
IA;0
IA;37
IA;363
IA;16
IA;54
IA;13
IA;27
IA;15
IA;0
IA;0
IA;47
IA;10
IA;155
IA;31
IA;0
IA;20
IA;15
IA;48
IA;96
IA;34
IA;73
IA;17
IA;0
IA;30
IA;72
IA;33
IA;241
IA;37
IA;27
IA;29
IA;11
IA;0
IA;0
IA;26
IA;18
IA;40
IA;28
IA;28
IA;54
IA;30
IA;20
IA;22
IA;31
IA;12
IA;26
IA;38
IA;21
IA;306
IA;31
IA;20
IA;45
IA;35
IA;388
IA;26
IA;14
IA;24
IA;11
IA;48
IA;56
IA;53
IA;0
IA;40
IA;24
IA;24
IA;33
IA;69
IA;48
IA;10
IA;10
IA;18
IA;46
IA;15
IA;936
IA;175
IA;29
IA;20
IA;12
IA;278
IA;31
IA;49
IA;91
IA;41
IA;0
IA;18
IA;13
IA;81
IA;50
IA;45
IA;20
IA;115
IA;17
IA;31
IA;372
IA;0
IA;21
ID;655
ID;0
ID;124
ID;0
ID;33
ID;0
ID;0
ID;22
ID;242
ID;0
ID;0
ID;243
ID;0
ID;10
ID;11
ID;0
ID;0
ID;0
ID;0
ID;16
ID;10
ID;15
ID;0
ID;0
ID;241
ID;0
ID;0
ID;0
ID;0
ID;19
ID;19
ID;54
ID;0
ID;15
ID;12
ID;0
ID;18
ID;0
ID;188
ID;0
ID;0
IL;216
IL;0
